Generation Popsize Maximum_Fitness Average_Fitness
0 16192 226 212.16205533596838 
1 16192 226 216.01383399209487 
2 16192 226 220.10276679841897 
3 8096 226 224.00790513833991 
4 8096 226 224.01556324110672 
5 4048 226 224.03162055335969 
6 4048 226 224.06225296442688 
7 2024 226 224.12252964426878 
8 2024 226 224.23715415019763 
9 1012 226 224.46047430830041 
10 506 226 224.87351778656125 
11 253 228 223.04347826086956 
12 253 232 219.54150197628459 
13 253 238 216.90909090909091 
14 253 240 219.098814229249 
15 253 240 218.25296442687747 
16 253 240 221.15415019762847 
17 253 240 222.23715415019763 
18 253 240 222.94071146245059 
19 253 240 224.79051383399209 
20 253 240 226.98814229249012 
21 253 240 230.03952569169959 
22 253 240 233.11462450592884 
23 253 240 234.48221343873519 
24 253 240 235.07509881422925 
