Generation Popsize Maximum_Fitness Average_Fitness
0 16192 157 145.93954 
1 16192 157 150.10413 
2 16192 157 153.04866 
3 8096 157 154.31905 
4 8096 157 154.86067 
5 4048 157 155.01457 
6 4048 157 155.05237 
7 2024 157 155.10623 
8 2024 157 155.20949 
9 1012 157 155.4081 
10 506 157 155.77667 
11 253 159 153.43083 
12 253 163 153.41898 
13 253 167 152.41502 
14 253 168 154.36758 
15 253 168 153.66403 
16 253 168 155.4664 
17 253 168 156.31621 
18 253 168 157.8419 
19 253 168 159.26877 
20 253 168 160.40712 
21 253 168 161.02371 
22 253 168 163.2332 
23 253 168 163.82608 
24 253 168 164.39131 
25 253 168 164.09486 
26 253 168 163.12648 
27 253 168 165.13834 
28 253 168 165.39526 
29 253 168 165.72333 
30 253 168 165.72333 
