Generation Popsize Maximum_Fitness Average_Fitness
0 16192 157 145.93953804347825 
1 16192 157 149.33683300395256 
2 16192 157 152.36338932806325 
3 8096 157 155.0064229249012 
4 8096 157 155.0130928853755 
5 4048 157 155.02569169960475 
6 4048 157 155.0513833992095 
7 2024 157 155.10424901185772 
8 2024 157 155.20256916996047 
9 1012 157 155.38833992094862 
10 1012 157 155.72332015810278 
11 506 159 153.8695652173913 
12 506 163 153.24308300395256 
13 506 168 151.83399209486166 
14 506 168 151.8201581027668 
15 506 168 154.39723320158103 
16 506 168 155.82608695652175 
17 506 168 156.82213438735178 
18 506 168 159.46245059288538 
19 506 168 160.84584980237153 
20 506 168 162.1501976284585 
21 506 168 163.43675889328063 
22 506 168 164.29841897233203 
23 506 168 164.2094861660079 
24 506 168 165.03359683794466 
25 506 168 164.87351778656125 
26 506 168 165.2094861660079 
27 506 168 166.43478260869566 
