"1971 Canadian Occupational Prestige Data
[1] Canadian Census occupational code (2-5)
[2] Occupational title (character, 7-35)
[3] Average education of incumbents, years (37-41)
[4] Average income of incumbents, dollars (43-47)
[5] Percent of incumbents who are women (49-53)
[6] Pineo-Porter prestige score for occupation (55-58)

Code Title Education Income PctWomen Prestige
 1113 GOVT_ADMINISTRATORS           13.11 12351 11.16 68.8
 1130 GENERAL_MNGR 12.26 25879  4.02 69.1
 1171 ACCOUNTNT 12.77  9271 15.70 63.4
 1175 PURCHSNG 11.42  8865  9.11 56.8
 2111 CHEMISTS                      14.62  8403 11.68 73.5
 2113 PHYSICISTS                    15.64 11030  5.13 77.6
 2133 BIOLOGIST  15.09  8258 25.65 72.6
 2141 ARCHITECTS                    15.44 14163  2.69 78.1
 2143 CIVIL ENGINEERS               14.52 11377  1.03 73.1
 2153 MINING ENGINEERS              14.64 11023  0.94 68.8
 2161 SURVEYORS                     12.39  5902  1.91 62.0
 2163 DRAUGHTSMEN                   12.30  7059  7.83 60.0
 2183 SYSTMS_ANLYST 13.83  8425 15.33 53.8
 2311 ECONOMISTS                    14.44  8049 57.31 62.2
 2315 PSYCHOLOGISTS                 14.36  7405 48.28 74.9
 2331 SOCIAL_WORKERS                14.21  6336 54.77 55.1
 2343 LAWYERS_NOTARIES              15.77 19263  5.13 82.3
 2351 LIBRARIANS         14.15  6112 77.10 58.1
 2391 VOCATIONAL_COUNSELLORS   15.22  9593 34.89 58.3
 2511 MINISTERS         14.50  4686  4.14 72.8
 2711 PROFESSORS           15.97 12480 19.59 84.6
 2731 ELEM_TEACHERS   13.62  5648 83.78 59.6
 2733 HIGH_SCHOOL_TEACHERS     15.08  8034 46.80 66.1
 3111 PHYSICIANS           15.96 25308 10.56 87.2
 3115 VETERINARIANS                 15.94 14558  4.32 66.7
 3117 OSTEO_CHIROPRACTORS      14.71 17498  6.91 68.4
 3131 NURSES 12.46  4614 96.12 64.7
 3135 NURSING_AIDES        9.45  3485 76.14 34.9
 3137 PHYSIO_THERAPSTS 13.62  5092 82.66 72.1
 3151 PHARMACISTS                   15.21 10432 24.71 69.3
 3156LAB_TECHNCN 12.79  5180 76.04 67.5
 3314ILLUSTRTNG_ARTISTS   11.09  6197 21.03 57.2
 3337 TV_ANNOUNCERS           12.71  7562 11.15 57.6
 3373 ATHLETES                      11.44  8206  8.13 54.1
 4111 SECRETARIES     11.59  4036 97.51 46.0
 4113 TYPISTS         11.49  3148 95.97 41.9
 4131 BOOKKEEPERS     11.32  4348 68.24 49.4
 4133 TELLERS              10.64  2448 91.76 42.3
 4143 COMPUTER_OPR 11.36  4330 75.92 47.7
 4153 RECEIVING_CLERKS      9.17  4761 11.37 30.9
 4161FILE CLERKS           12.09  3016 83.19 32.7
 4171 RECEPTIONSTS      11.04  2901 92.86 38.7
 4172 MAIL_CARRIERS                  9.22  5511  7.62 36.1
 4173 POSTAL_CLERKS            10.07  3739 52.27 37.2
 4175 TELEPHONE_OPERATORS           10.51  3161 96.14 38.1
 4191 COLLECTORS                    11.20  4741 47.06 29.4
 4192 CLAIM_ADJUSTORS              11.13  5052 56.10 51.1
 4193 TRAVEL_CLERKS 11.43  6259 39.17 35.7
 4197 OFFICE_CLERKS         11.00  4075 63.23 35.6
 5130 SUPERVISORS  9.84  7482 17.04 41.5
 5133 COMMERCIAL_TRAVELLERS         11.13  8780  3.16 40.2
 5137 SALES_CLERKS      10.05  2594 67.82 26.5
 5143 NEWSBOYS                       9.62   918  7.00 14.8
 5145 SERVICE_STATION_ATTENDANT      9.93  2370  3.69 23.3
 5171 INSURANCE_SALESMEN    11.60  8131 13.09 47.3
 5172 REAL_ESTATE_SALESMEN          11.09  6992 24.44 47.1
 5191 WHOLESALE_RETAIL_TRADE 11.03  7956 23.88 51.1
 6111 FIREFIGHTER              9.47  8895  0.00 43.5
 6112 POLICE     10.93  8891  1.65 51.6
 6121 CHEFS_COOKS                    7.74  3116 52.00 29.7
 6123 BARTENDERS                     8.50  3930 15.51 20.2
 6141 FUNERAL_DIRTRS 10.57  7869  6.01 54.9
 6147 BABYSITTERS                    9.46   611 96.53 25.9
 6162 LAUNDERING  7.33  3000 69.31 20.8
 6191 JANITORS   7.11  3472 33.57 17.3
 6193 ELEVATOR_OPERATOR        7.58  3582 30.08 20.1
 7112 FARMERS                        6.84  3643  3.60 44.1
 7182 FARM_WORKERS                   8.60  1656 27.75 21.5
 7711 ROTARY_WELL_DRILLING  8.88  6860  0.00 35.3
 8213 BAKING_CONFECTION  7.54  4199 33.30 38.9
 8215 SLAUGHTERING   7.64  5134 17.26 34.8
 8221 FRUIT_VEG_CANNING   7.42  1890 72.24 23.2
 8267 TEXTILE_WEAVING           6.69  4443 31.36 33.3
 8278  TEXTILE_LABOR  6.74  3485 39.48 28.8
 8311 TOOL_DIE_MAKING       10.09  8043  1.50 42.5
 8313 MACHINIST  8.81  6686  4.28 44.2
 8333 SHEET_METAL_WORKERS            8.40  6565  2.30 35.9
 8335 WELDING     7.92  6477  5.17 41.8
 8513 MOTOR_VEH_FABRCTG  8.43  5811 13.62 35.9
 8515 AIRCRAFT_FABRCTNG  8.78  6573  5.78 43.7
 8534 ELECTRONIC_EQUIP_FABRTG  8.76  3942 74.54 50.8
 8537 RADIO_TV_SERVICE   10.29  5449  2.92 37.2
 8563 SEWING_MACH_OPERTR    6.38  2847 90.67 28.2
 8581 MECHANIC   8.10  5795  0.81 38.1
 8582 AIRCRAFT_MECHANICS  10.10  7716  0.78 50.3
 8715 RAILWAY_TRACKMEN    6.67  4696  0.00 27.3
 8731 ELECTRICAL_LINEMAN  9.05  8316  1.34 40.9
 8733 CONSTRUCTION_ELEC      9.93  7147  0.99 50.2
 8780 FOREMEN_CONSTRN  8.24  8880  0.65 51.1
 8781 CARPENTERS     6.92  5299  0.56 38.9
 8782 STONE_MASONS  6.60  5959  0.52 36.2
 8785 PAINTERS   7.81  4549  2.46 29.9
