"Midterm Exam Question #2:  Employee productivity."
      ID  EXPER PROD
      1  18 5.9
      2  13 5.7
      3  29 6.5
      4  30 6.5
      5   9 5.5
      6  13 5.1
      7   3 3.9
      8  17   6
      9  30 6.4
     10   4 4.4
     11   6 4.8
     12  13   6
     13  15 5.7
     14   1 2.9
     15  22   6
     16  25 6.4
     17   3 4.3
     18  27 6.3
     19  18 5.9
     20  23 6.2
     21  25 5.9
     22  25 6.1
     23  14 5.8
     24  16   6
     25   7 5.3
     26  26 6.7
     27  21 6.1
     28   9 5.2
     29   3 4.2
     30  22   6
