"Annual British transportation data 1948-1973."
jrnys	year	trainmi	cars	airpass	labor	roadmi	invest	population	actpone	motorway	lablag
996	1948	19598	1961	381	1	183477	40.3	48562	1	0	0
993	1949	19573	2131	453	1	183658	44.1	48941	0	0	0
982	1950	19471	2258	486	1	183821	43.4	49188	0	0	0
1001	1951	19357	2380	528	0	184837	42.3	48917	0	0	1
989	1952	19276	2508	669	0	185523	40	49056	0	0	1
985	1953	19222	2762	833	0	186261	55.9	49208	0	0	1
1020	1954	19151	3100	1002	0	187040	65.3	49378	0	0	0
994	1955	19061	3526	1212	0	188095	71.3	49553	0	0	0
1029	1956	19025	3888	1402	0	189837	89	49787	0	0	0
1101	1957	18965	4187	1588	0	190151	125.9	50032	0	0	0
1090	1958	18848	4549	1463	0	191146	141	50250	0	0	0
1069	1959	18484	4966	1738	0	193072	167.8	50548	0	8	0
1037	1960	18369	5526	2240	0	194180	163.3	50952	0	95	0
1025	1961	17903	5979	2841	0	195217	146.2	51380	1	136	0
965	1962	17481	6556	3260	0	196135	115.3	51855	1	151	0
938	1963	16982	7375	3673	0	198455	90.6	52178	0	199	0
928	1964	15991	8247	4216	0	199743	100.7	52533	0	298	0
865	1965	14920	8917	2669	1	201022	113.7	52881	0	355	0
835	1966	13721	9513	5123	1	202064	102.8	53167	0	392	0
837	1967	13172	10303	5314	1	202672	86	53470	0	473	0
831	1968	12447	10816	5041	1	203969	79	53711	1	563	1
805	1969	12098	11228	5159	1	205600	62	53947	1	599	1
824	1970	11799	11515	5365	1	206948	77.9	54105	0	657	1
816	1971	11643	12062	5367	0	208300	91.2	54369	0	789	1
754	1972	11441	12717	5890	0	210193	102.8	54537	0	1037	1
728	1973	11357	13497	6513	0	209838	109.4	54671	0	1076	1
