"Comparison of state abortion rates in 1973, 1980, and 1988"
State Abort73 Abort80 Abort88 Poverty80
 me    3.3  18.6  16.2 13
 nh    3.3  21.1  17.5  8.5
 vm   14.8  30.4  25.8 12.1
 ms   10.1  33.5  30.2  9.6
 ri    5.8  30.7  30.6 10.3
 ct   10.4  25.6  31.2  8
 ny   54.5  45.8  43.3 13.4
 nj    6.7  32.8  35.1  9.5
 pa   12.2  26.1  18.9 10.5
 oh    7.4  26.8  21.0 10.3
 in    1.5  15.3  11.9  9.7
 il   13.6  25.9  26.4 11
 mi   19.1  29.7  28.5 10.4
 wi    8.6  20.1  16.0  8.7
 mn    8.8  20.7  18.2  9.5
 io    4.0  14.3  14.6 10.1
 mo    3.5  19.4  16.4 12.2
 nd    0.0  21.5  14.9 12.6
 sd   12.2   9.0   5.7 16.9
 nb    7.2  17.9  17.7 10.7
 ks   26.5  25.6  20.1 10.1
 de   16.3  25.9  35.7 11.9
 md   12.2  29.2  28.6  9.8
 dc  251.4 168.3 163.3 18.6
 va    7.6  24.2  23.7 11.8
 wv    0.1  6.9    7.5 15
 nc   10.2  22.8  25.4 14.8
 sc    3.5  18.2  16.7 16.6
 ga   10.0  28.4  23.5 16.6
 fl   14.7  35.5  31.5 13.5 
 kt    3.6  15.1  13.0 17.6
 tn    5.8  23.6  18.9 16.5
 al    6.0  23.1  18.7 18.9
 ms    0.2  10.6   8.4 23.9
 ar    2.7  12.3  11.6 19
 la    0.0  17.6  16.3 18.6
 ok    1.0  16.4  16.2 13.4
 tx    6.4  30.0  24.8 14.7
 mt    3.0  20.1  16.5 12.3
 id    2.3  12.7   8.2 12.6
 wy    2.2   9.5   5.1  7.9
 co   13.5  31.4  22.4 10.1
 nm   18.9  27.0  19.1 17.6
 az    6.1  25.0  28.8 13.2
 ut    0.4  12.3  12.8 10.3
 nv    7.1  46.6  40.3  8.7
 wa   21.8  37.5  27.6  9.8
 or   23.3  28.3  23.9 10.7
 ca   30.5  43.7  45.9 11.4
 ak   14.8  17.9  18.2 10.7
 hi   24.9  34.4  43.0  9.9
