"Duncan data on occupational status."
TITLE                        INCOME  EDUCATION PRESTIGE
accountant                          62  86 82
airline_pilot                       72  76 83
architect                           75  92 90
author                              55  90 76
chemist                             64  86 90
minister                            21  84 87
professor                           64  93 93
dentist                             80 100 90
reporter                            67  87 52
civil_engineer                      72  86 88
undertaker                          42  74 57
lawyer                              76  98 89
physician                           76  97 97
welfare_worker                      41  84 59
public_teacher                      48  91 73
conductor                           76  34 38
contractor                          53  45 76
factory_owner                       60  56 81
store_manager                       42  44 45
banker                              78  82 92
bookkeeper                          29  72 39
mail_carrier                        48  55 34
insurance_agent                     55  71 41
store_clerk                         29  50 16
carpenter                           21  23 33
electrician                         47  39 53
railroad_engineer                   81  28 67
machinist                           36  32 57
auto_repairman                      22  22 26
plumber                             44  25 29
filling_station                     15  29 10
coal_miner                           7   7 15
streetcar_motorman                  42  26 19
taxi_driver                          9  19 10
truck_driver                        21  15 13
machine_operator                    21  20 24
barber                              16  26 20
bartender                           16  28  7
shoe_shiner                          9  17  3
restaurant_cook                     14  22 16
soda_fountain_clerk                 12  30  6
night_watchman                      17  25 11
janitor                              7  20  8
policeman                           34  47 41
restaurant_waiter                    8  32 10

