"Jet fighter data from Cook and Weisburg, p47"
Model   FFD   SPR RGF   PLF SLF CAR
FH-1     82 1.468 3.3  .166  .1  0
FJ-1     89 1.605 3.64 .154  .1  0 
F86-A   101 2.168 4.87 .177 2.9  1
F9F-2   107 2.054 4.72 .275 1.1  0
F94-A   115 2.467 4.11 .298 1.0  1
F3D-1   122 1.294 3.75 .15  0.9  0
F-89A   127 2.183 3.97 .00  2.4  1
XF10F-1 137 2.426 4.65 .117 1.8  0
F9F-6   147 2.607 3.84 .155 2.3  0
F100-A  166 4.567 4.92 .138 3.2  1
F4D-1   174 4.588 3.82 .249 3.5  0
F11F-1  175 3.618 4.32 .143 2.8  0
F-101A  177 5.855 4.53 .172 2.5  1
F3H-2   184 2.898 4.48 .178 3.0  0
F-102A  187 3.88  5.39 .101 3.0  1
F-8A    189 0.455 4.99 .008 2.64 0
F-104A  194 8.088 4.5  .251 2.7  1
F-105B  197 6.502 5.2  .366 2.9  1
YF-107A 201 6.081 5.65 .106 2.9  1
F-106A  204 7.105 5.4  .089 3.2  1
F-4B    255 8.548 4.2  .222 2.9  0
F-111A  328 6.321 6.45 .187 2.0  1

