"Weighted least squares artificial example data."
   X1   X2 Y
     107.703 1116.49 3545.04 
     202.677 1232.04  3838.7 
     93.0598 1040.07 3350.59 
     137.186 1084.86 3567.54 
     90.0211 1100.05 3769.57 
     67.8852  1080.1 3484.69 
     133.604 1151.25 3623.88 
     192.534  1175.4 4103.43 
     41.1064 1010.92 3202.34 
     136.112 1197.72  3851.7 
     60.8635 1081.74 3438.37 
     132.069 1111.86 3807.34 
     140.887  1189.7 3947.79 
     182.091 1179.13 4170.35 
     69.2337 1091.39 3455.63 
     104.434 1130.48 3705.45 
     173.098 1192.06 3790.62 
      72.917 1059.12 3465.65 
     223.087 1229.92  4240.5 
     71.7023 1081.39 3484.88 
     132.628 1172.46 3916.63 
     2.60824 1036.45 3209.79 
     124.168 1142.61 3795.82 
     222.174 1112.17  3917.3 
     122.483 1104.05 3645.16 
     144.243 1171.09  3771.2 
     174.558  1142.9 3569.81 
     177.631 1121.42  3731.7 
     32.5771 1034.86 3281.45 
     116.214 1117.15 3762.91 
     204.132 1285.47  4138.1 
     164.852 1070.23 3675.98 
     128.686 1130.21 3569.58 
     149.866 1137.16 3580.86 
     149.708 1099.21  3908.2 
      117.82 1116.61 3765.43 
     170.289  1180.9 4057.05 
     86.2116 1143.13 3726.09 
     211.796 1207.29 3869.14 
      186.52 1117.22 4058.07 
     191.321 1174.11 4097.28 
     170.525  1190.2 3801.68 
     225.672 1179.03 3856.07 
     203.594 1188.53 4298.69 
     112.371 1135.36 3859.34 
     170.465 1157.33 3929.48 
     138.479 1097.67 3598.51 
     110.102 1129.88 3587.45 
     165.409  1157.2 3803.83 
     84.1336 1032.19 3407.01 
