6.  160.0  110. 2620.  21.0  "MazdaRX4(rotary)"
6.  160.0  110. 2875.  21.0  "MazdaWgn(rotary)"
4.  108.0   93. 2320.  22.8  "Datsun710"
6.  258.0  110. 3215.  21.4  "Hornet4WD"
8.  360.0  175. 3440.  18.7  "HornetSport"
6.  225.0  105. 3460.  18.1  "Valiant"
8.  360.0  245. 3570.  14.3  "Duster360"
4.  146.7   62. 3190.  24.4  "Mercedes240D(diesel)"
4.  140.8   95. 3150.  22.8  "Mercedes230"
6.  167.6  123. 3440.  19.2  "Mercedes280"
6.  167.6  123. 3440.  17.8  "Mercedes280C"
8.  275.8  180. 4070.  16.4  "Mercedes450SE"
8.  275.8  180. 3730.  17.3  "Mercedes450SL"
8.  275.8  180. 3780.  15.2  "Mercedes450SLC"
8.  472.0  205. 5250.  10.4  "CadillacFleetwood"
8.  460.0  215. 5424.  10.4  "LincolnContinental"
8.  440.0  230. 5345.  14.7  "ChryslerImperial"
4.   78.7   66. 2200.  32.4  "Fiat128"
4.   75.7   52. 1615.  30.4  "HondaCivic"
4.   71.1   65. 1835.  33.9  "ToyotaCarolla"
4.  120.1   97. 2465.  21.5  "ToyotaCorona"
8.  318.0  150. 3520.  15.5  "DodgeChallenger"
8.  304.0  150. 3435.  15.2  "AMC-Javelin"
8.  350.0  245. 3840.  13.3  "CamaroZ-28"
8.  400.0  175. 3845.  19.2  "PontiacFirebird"
4.   79.0   66. 1935.  27.3  "FiatX1-9"
4.  120.3   91. 2140.  26.0  "Porsche914-2(flat_engine)"
4.   95.1  113. 1513.  30.4  "LotusEuropa"
8.  351.0  264. 3170.  15.8  "FordPanteraL"
6.  145.0  175. 2770.  19.7  "FerrariDino1973"
8.  301.0  335. 3570.  15.0  "MaseratiBora"
4.  121.0  109. 2780.  21.4  "Volvo142E"
                            
                            
                            
                            
                            
                            
                            
                            
