treatment z1 z2  w0  w1  w2  w3  w4
control    0  0  46  70 102 131 153
control    0  0  49  67  90 112 140
control    0  0  41  67 100 129 164
control    0  0  51  71  94 110 141
control    0  0  52  77 111 144 185
control    0  0  56  81 104 121 151
control    0  0  57  82 110 139 169
control    0  0  57  86 114 139 172
control    0  0  60  93 123 146 177
control    0  0  63  91 112 130 154
thyroxin   1  0  52  70 105 138 171
thyroxin   1  0  52  73  97 116 140
thyroxin   1  0  54  71  90 110 138
thyroxin   1  0  56  75 108 151 189
thyroxin   1  0  57  72  97 120 144
thyroxin   1  0  59  85 116 148 177
thyroxin   1  0  59  85 121 156 191
thiouracil 0  1  46  61  78  90 107
thiouracil 0  1  51  75  92 100 119
thiouracil 0  1  51  75 101 123 140
thiouracil 0  1  53  79 100 106 133
thiouracil 0  1  53  72  89 104 122
thiouracil 0  1  56  78  95 103 108
thiouracil 0  1  58  69  93 114 138
thiouracil 0  1  59  80 101 111 122
thiouracil 0  1  59  88 100 111 122
thiouracil 0  1  61  86 109 120 129
